Country,Value,Nombre
Amarillento,0,amarillento
Amaxito,2.8,amaxito
Atekayote,0,atekayote
Bola,1.6,bola
Bravo,8,bravo
Caribe,4.5,caribe
Carricillo,1.2,carricillo
Cera,14,cera
Chilaca,5,chilaca
Chimborote,0,chimborote
Comapeño,8,comapeño
Costeño,1.5,costeño
Cuerudo,0,cuerudo
De agua,4,deagua
De árbol,8,dearbol
De chorro,0,dechorro
Dulce,1,dulce
Habanero,18,habanero
Jalapeño,7,jalapeño
Manzano,17,manzano
Milkahual,0,milkahual
Mirasol,3,mirasol
Pastor,0,pastor
Pico de paloma,3,picodepaloma
Piquin,18,piquinfresco
Poblano,1.4,poblano
Serrano,2.1,serrano
Simojovel,0,simojovel
Solterito,0,solterito
Tabiche,0,tabiche
Tuxta,0,tuxta
Verde del norte,11,verdedelnorte
Verde yucateco,0,verdeyucateco
Xcatik,3,xcatik