Country,Value,Nombre,
Ancho,1.2,ancho
Cascabel,1.23,cascabel
Catarina,0,catarina
Cora,0,cora
Chilcostle,0,chilcostle
Chilhuacle,1.7,chilhuacle
Chipotle,2.574,chipotle
Colorado,0,colorado
Comapeño,8,comapeño
Costeño,1.287,costeño
Costeño amarillo y rojo,1.3,costeñorojo
De árbol,7,dearbol
De onza,0,deonza
Guajillo,3,guajillo
Meco,0,meco
Miahuateco,0,miahuateco
Mora,0,mora
Morelia,0,morelia
Morita,7,morita
Mulato,1.2,mulato
Pasilla,1.8,pasilla
Pasilla oaxaqueño,0,pasillaoax
Pico de pájaro,0,picodepajaro
Piquin,18,piquin
Puya,0,puya
Xojchile,3.3,xojchile
Seco yucateco,0,secoyuca
Tabiche Seco,0,tabiche